Food Name,Category,Calories (per 100g),Carbs (g),Fiber (g),Protein (g),Fat (g),GI Score,Diabetic-friendly (Yes/No),Common Dishes
Spinach (Palong Shaak),Vegetables,180,68.1,14.0,16.1,41.0,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,136,8.6,4.9,29.9,12.8,High,No,Spinach dish
Spinach (Palong Shaak),Vegetables,10,61.9,4.2,19.7,3.9,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,221,3.4,11.0,7.6,33.6,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,258,43.6,11.8,31.9,38.6,High,No,Spinach dish
Spinach (Palong Shaak),Vegetables,104,14.8,8.6,36.5,10.1,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,316,66.4,4.3,2.0,2.0,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,509,15.2,6.2,8.5,47.3,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,418,18.0,4.1,21.1,37.5,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,422,57.0,1.1,28.9,18.6,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,143,1.7,14.2,23.1,22.8,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,448,32.5,6.6,4.1,10.1,High,No,Spinach dish
Spinach (Palong Shaak),Vegetables,351,56.8,11.9,38.6,11.0,High,No,Spinach dish
Spinach (Palong Shaak),Vegetables,307,6.7,11.9,5.5,43.0,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,130,9.9,13.0,22.2,29.2,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,489,11.5,9.5,34.6,4.9,High,No,Spinach dish
Spinach (Palong Shaak),Vegetables,171,31.4,4.1,8.9,24.9,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,486,31.1,13.8,28.4,18.8,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,128,48.6,4.5,6.6,45.1,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,90,54.7,6.1,39.0,45.3,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,268,17.3,8.0,39.3,28.7,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,530,60.9,2.1,34.9,0.2,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,357,31.3,9.6,4.0,20.9,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,551,67.1,3.7,30.5,10.4,High,No,Spinach dish
Spinach (Palong Shaak),Vegetables,401,52.7,4.0,15.8,3.4,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,519,7.2,6.1,2.3,14.2,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,11,44.3,14.9,3.1,9.2,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,81,52.7,13.2,12.8,12.6,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,446,23.7,9.4,22.4,12.0,High,No,Spinach dish
Spinach (Palong Shaak),Vegetables,431,49.3,9.9,39.1,36.0,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,395,7.6,7.0,10.6,28.1,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,445,17.5,12.5,39.9,45.8,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,510,52.8,13.4,6.9,13.3,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,231,40.4,12.2,5.1,2.5,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,123,42.9,4.7,29.4,1.2,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,489,4.2,6.3,11.8,30.5,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,145,3.4,9.1,24.6,39.1,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,328,21.2,4.3,16.4,5.3,High,No,Spinach dish
Spinach (Palong Shaak),Vegetables,28,48.4,6.1,38.2,1.5,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,37,25.5,7.8,36.2,25.9,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,553,16.1,7.6,37.4,28.6,High,No,Spinach dish
Spinach (Palong Shaak),Vegetables,322,40.5,1.3,7.1,46.8,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,109,27.1,7.3,35.1,49.8,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,374,14.7,12.2,29.2,11.1,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,574,29.7,8.6,38.9,7.3,High,No,Spinach dish
Spinach (Palong Shaak),Vegetables,399,27.9,3.0,33.4,5.2,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,595,69.7,10.7,25.8,24.9,Medium,No,Spinach dish
Spinach (Palong Shaak),Vegetables,296,60.0,6.3,15.7,34.6,Low,Yes,Spinach dish
Spinach (Palong Shaak),Vegetables,228,69.9,9.4,28.4,36.0,High,No,Spinach dish
Spinach (Palong Shaak),Vegetables,39,3.4,8.7,5.5,40.3,High,No,Spinach dish
Bitter Gourd (Korola),Vegetables,94,2.0,13.6,17.6,43.3,Medium,No,Bitter dish
Bitter Gourd (Korola),Vegetables,21,14.8,14.7,34.5,11.8,Medium,No,Bitter dish
Bitter Gourd (Korola),Vegetables,113,24.4,2.0,30.4,26.0,High,No,Bitter dish
Bitter Gourd (Korola),Vegetables,50,12.5,8.0,14.0,42.3,Low,Yes,Bitter dish
Bitter Gourd (Korola),Vegetables,154,25.9,13.4,27.5,39.4,Medium,No,Bitter dish
Bitter Gourd (Korola),Vegetables,274,33.2,2.0,26.9,35.5,High,No,Bitter dish
Bitter Gourd (Korola),Vegetables,534,8.0,11.1,30.8,12.1,Medium,No,Bitter dish
Bitter Gourd (Korola),Vegetables,228,62.3,4.7,29.9,5.7,Medium,No,Bitter dish
Bitter Gourd (Korola),Vegetables,591,24.2,14.6,8.4,49.0,Low,Yes,Bitter dish
Bitter Gourd (Korola),Vegetables,258,15.9,8.9,32.7,38.3,Medium,No,Bitter dish
Bitter Gourd (Korola),Vegetables,34,24.7,14.3,11.3,13.5,Low,Yes,Bitter dish
Bitter Gourd (Korola),Vegetables,448,8.3,4.4,12.2,26.2,Low,Yes,Bitter dish
Bitter Gourd (Korola),Vegetables,425,39.4,14.0,29.9,0.9,Low,Yes,Bitter dish
Bitter Gourd (Korola),Vegetables,172,25.8,6.3,19.0,17.6,High,No,Bitter dish
Bitter Gourd (Korola),Vegetables,551,4.8,12.5,35.0,13.6,Low,Yes,Bitter dish
Bitter Gourd (Korola),Vegetables,492,10.2,4.5,17.8,49.9,Medium,No,Bitter dish
Bitter Gourd (Korola),Vegetables,335,2.5,8.4,8.8,32.2,High,No,Bitter dish
Bitter Gourd (Korola),Vegetables,230,53.1,6.3,17.2,46.3,Medium,No,Bitter dish
Bitter Gourd (Korola),Vegetables,549,39.3,7.8,36.7,10.3,High,No,Bitter dish
Bitter Gourd (Korola),Vegetables,485,58.3,8.1,19.1,30.5,Medium,No,Bitter dish
Bitter Gourd (Korola),Vegetables,485,20.7,12.2,22.6,3.3,High,No,Bitter dish
Bitter Gourd (Korola),Vegetables,407,1.7,6.0,13.8,47.5,High,No,Bitter dish
Bitter Gourd (Korola),Vegetables,154,49.1,13.5,0.8,1.3,High,No,Bitter dish
Bitter Gourd (Korola),Vegetables,329,12.5,13.5,25.6,8.1,High,No,Bitter dish
Bitter Gourd (Korola),Vegetables,578,21.2,1.5,22.5,16.1,Low,Yes,Bitter dish
Bitter Gourd (Korola),Vegetables,512,12.1,5.0,7.4,5.4,High,No,Bitter dish
Bitter Gourd (Korola),Vegetables,488,42.6,12.3,39.1,38.8,High,No,Bitter dish
